"","Diptank","date","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"124","Madlakude","265","2017-09-14","4773","4516","228917.803039158","4579","261743.835736033","4570","341696.015765221","4490","413554.984688738"
"125","Madlakude","281","2017-09-30","6321","4929","435786.966101695","5029.5","378813.102545761","5076","462603.881533739","4992","655412.694398061"
"126","Madlakude","290","2017-10-16","5605","4617","415274.995324372","4687","394503.100840028","4768","510593.72897299","4696","662203.494068237"
"127","Madlakude","313","2017-11-01","5556","4340","362779.312682642","4353","276375.428946114","4374","410338.634901797","4248","509951.480323291"
"128","Madlakude","333","2017-11-17","5336","4341","255002.464640561","4414.5","303527.064304318","4420","357492.537548625","4381","472245.925591911"
"129","Madlakude","351","2017-12-03","6184","5804","217148.386323787","5773","213554.746946187","5726","292111.467542838","5651","323231.597622235"
"130","Madlakude","365","2017-12-19","7448","6681","194679.951490357","6461.5","314625.111184476","6433","441341.170106151","6383","458003.509956806"
"131","Madlakude","5","2018-01-01","7310","6896","427661.745178258","6281.5","578245.640732181","6329","741466.809337524","6283","727514.764074999"
"132","Madlakude","19","2018-01-17","6252","5847","603758.55698422","5629","632844.040277319","5625","715890.522838326","5684","711221.433361394"
"133","Madlakude","46","2018-02-02","7702","7125","367419.115137347","6594","472269.695920913","6552","586481.895914376","6543","614115.526257078"
"134","Madlakude","55","2018-02-18","7800","7729","294276.488018703","7582","593141.547870584","7347","738446.798370732","7136","707570.543525661"
"135","Madlakude","78","2018-03-06","8028","7428","327540.02980713","7270.5","507244.308939511","7101","665745.894456532","6955","618712.213474463"
"136","Madlakude","87","2018-03-22","7549","7708","429048.78842782","7567.5","504259.542423242","7324","576361.450664088","7208","514012.917870729"
"137","Madlakude","103","2018-04-07","7800","7792","226363.9421391","7559","369080.888833865","7332","449525.496472605","7154","404719.102880091"
"138","Madlakude","117","2018-04-23","7438","7293","253909.762711864","6984","378911.346025458","6790","494899.318124876","6680","510652.743229878"
"139","Madlakude","142","2018-05-09","7668","7156","172390.527177089","6813","291570.265599208","6676","410248.954506494","6637","478742.947058039"
"140","Madlakude","158","2018-05-25","7664","7201","117008.906487434","6963.5","217849.753860827","6826","292025.593188428","6825","341805.708094706"
"141","Madlakude","165","2018-06-10","7289","6841","143811.115137347","6681","227313.067183889","6599","294764.463865263","6646","359100.622513099"
"142","Madlakude","192","2018-06-26","6546","6117","175039.073056692","5995.5","241801.432522651","6000","342598.825989172","6008","449580.528552503"
"143","Madlakude","199","2018-07-12","6839","5954","231025.286966686","5815.5","317443.229155203","5852","418995.410613686","5907","551965.158432579"
"144","Madlakude","211","2018-07-28","5825","5407","143222.969608416","5315.5","205218.802556766","5358","317785.780993824","5386","439447.526641182"
"145","Madlakude","238","2018-08-13","5819","5310","164568.33722969","5208","224960.363321228","5251","348368.720518963","5276","500680.404056783"
"146","Madlakude","254","2018-08-29","5686","5162","238356.393921683","4904.5","291469.421297825","4924","465249.702204347","5007","541953.680940618"
