"","Diptank","date","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"386","Mpala","82","2017-03-22","2350","2165.5","486469.687995769","2305","701794.605406992","2419","686502.414542464","2486","724274.177457209"
"387","Mpala","107","2017-04-07","2740","2115.5","367156.313061872","2183.5","684114.75435604","2281","756083.697044033","2347","823382.191568499"
"388","Mpala","123","2017-04-23","2191","2113","366832.082760444","2136","620601.903598547","2196","723564.692779994","2266","765525.530764013"
"389","Mpala","130","2017-05-09","2687","2012","333678.995240613","2027.5","587067.658779942","2044","701858.579483554","2154","765197.524912384"
"390","Mpala","155","2017-05-25","2123","2082","315159.880486515","2074","498523.092256337","2059","571151.956472176","2116","622159.631557646"
"391","Mpala","162","2017-06-10","1955","1656","217622.078265468","1748.5","448578.888246946","1727","499694.047358966","1771","524691.472430868"
"392","Mpala","178","2017-06-26","1701","1529.5","147058.937334744","1613.5","285924.530299696","1589","383575.700233043","1669","437173.044429873"
"393","Mpala","203","2017-07-12","1652","1437.5","46063.1147540984","1455","129149.690491912","1492","298626.928550299","1553","383294.551683361"
"394","Mpala","210","2017-07-28","1456","1424.5","32879.5335801163","1399","116823.584112835","1418","256702.522074155","1454","345320.197591969"
"395","Mpala","235","2017-08-13","1620","1393","35515.0441565309","1360","123582.651186677","1384","281057.624432724","1441","357653.441956271"
"396","Mpala","248","2017-08-29","1530","1585.5","56978.2760444209","1560","215851.517699277","1607","426534.781891906","1687","540592.999301332"
"397","Mpala","265","2017-09-14","1320","1269","22215.933368588","1276.5","79747.6216573126","1344","184688.714403215","1399","254539.163214778"
"398","Mpala","281","2017-09-30","1422","1203.5","32609.513749339","1186","125662.133689153","1222","302826.666936025","1336","412123.087778959"
"399","Mpala","290","2017-10-16","1491","1257","30723.4799048123","1233.5","135018.943912549","1335","311405.689259096","1411","414464.577570262"
"400","Mpala","306","2017-11-01","1424","1242","24190.1015335801","1204.5","145175.936044166","1282","304926.887266326","1373","353656.246428652"
"401","Mpala","333","2017-11-17","2451","2289.5","71876.9077207826","2390.5","270679.763710062","2531","474647.725961573","2541","563086.370282859"
"402","Mpala","351","2017-12-03","3836","3499.5","480961.293759915","3790","780165.774494699","4020","865809.813673783","4034","913786.562077464"
"403","Mpala","365","2017-12-19","4613","4018","403028.345848757","4143","610829.650049521","4351","830398.326195338","4349","962714.462161123"
"404","Mpala","5","2018-01-01","3481","3177.5","503671.222897938","3331.5","659558.119438025","3536","841461.418806502","3582","908204.919228073"
"405","Mpala","19","2018-01-17","2603","2428.5","222815.6300899","2477","419694.77284399","2551","485786.681950347","2654","562039.924204671"
"406","Mpala","46","2018-02-02","4301","4301","848866.202273929","4295","748560.042624995","4200","724366.241232026","4130","701574.904418116"
"407","Mpala","60","2018-02-18","4695","4731","812375.375991539","4640","800287.51353582","4614","892805.386981335","4502","853789.280245099"
"408","Mpala","78","2018-03-06","4931","4366.5","409309.971708091","4599","400990.952129416","4707","445905.824467356","4669","475822.428457729"
"409","Mpala","94","2018-03-22","4642","4332","298058.319407721","4648.5","373391.092769891","4712","424412.680911393","4635","488621.299113664"
"410","Mpala","103","2018-04-07","4669","4541.5","117909.167900582","4731.5","246142.920600858","4831","304625.533430495","4816","402850.683647998"
"411","Mpala","117","2018-04-23","3668","3428","84762.3418826018","3630","174700.213803602","3759","268333.259796105","3803","323640.272727067"
"412","Mpala","142","2018-05-09","3529","3101.5","69398.7363828662","3334","154756.148728953","3461","226854.729922584","3518","284982.49284826"
"413","Mpala","151","2018-05-25","3753","3619.5","79383.3921205711","3718.5","166596.477532005","3835","209353.148599216","3862","249447.400777805"
"414","Mpala","165","2018-06-10","3524","3496.5","96871.005817028","3551","148024.391053153","3675","198650.072366","3679","229191.27471228"
"415","Mpala","192","2018-06-26","2771","2750.5","92931.7831835008","2756","135020.491838157","2873","212383.934993254","2974","255974.414292174"
"416","Mpala","206","2018-07-12","2621","2315.5","124822.8622422","2389","123684.894556326","2483","189910.157257163","2538","230731.266721686"
"417","Mpala","211","2018-07-28","2189","2130.5","87648.8260179799","2084","104228.624940391","2189","166645.56156882","2233","191163.798681801"
"418","Mpala","238","2018-08-13","2302","1973.5","152091.452406134","1955.5","141398.993727303","1974","181240.122517154","2033","191258.924668189"
"419","Mpala","254","2018-08-29","2113","2147","195928.757535695","2128","214850.595062544","2168","255568.812952287","2234","269811.757125738"
"420","Mpala","261","2018-09-14","3060","2696","121533.538868324","2693.5","176734.381570742","2848","224569.119595097","2870","219647.79848961"
"421","Mpala","279","2018-09-30","3803","3636","186806.392384982","3688.5","254581.900884047","3714","359660.351866148","3681","407611.590426662"
"422","Mpala","300","2018-10-16","2555","2476.5","196061.759915389","2434","329505.953046477","2476","373440.018426995","2508","362933.982727745"
