"","Diptank","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"116","Hlanjwana","2018-11-01","14980","14980",NA,"14980",NA,"14980",NA,"14991","499"
"117","Hlanjwana","2018-11-09","14995","14995",NA,"14995",NA,"14995",NA,"15017","7924"
"118","Hlanjwana","2018-11-17","15317","15317",NA,"15317",NA,"15317",NA,"15304","1942.33333333333"
"119","Hlanjwana","2018-11-25","15450","15450",NA,"15450",NA,"15450",NA,"15450","3305.33333333333"
"120","Hlanjwana","2018-12-03","15557","15557",NA,"15557",NA,"15557",NA,"15408","9997"
"121","Hlanjwana","2018-12-11","15240","15240",NA,"15240",NA,"15240",NA,"15296","2917.33333333333"
"122","Hlanjwana","2018-12-19","15308","15308",NA,"15308",NA,"15308",NA,"15313","28330.3333333333"
"123","Hlanjwana","2018-12-27","15141","15141",NA,"15141",NA,"15141",NA,"15139","868"
"124","Hlanjwana","2019-01-01","15012","15012",NA,"15012",NA,"15012",NA,"15084","3648"
"125","Hlanjwana","2019-01-09","15134","15134",NA,"15134",NA,"15134",NA,"15140","217.333333333333"
"126","Hlanjwana","2019-01-17","15020","15020",NA,"15020",NA,"15020",NA,"15026","809.333333333333"
"127","Hlanjwana","2019-01-25","15201","15201",NA,"15201",NA,"15201",NA,"15184","824.333333333333"
"128","Hlanjwana","2019-02-02","15005","15005",NA,"15005",NA,"15005",NA,"15022","1252.33333333333"
"129","Hlanjwana","2019-02-10","15353","15353",NA,"15353",NA,"15353",NA,"15368","170.333333333333"
"130","Hlanjwana","2019-02-18","15053","15053",NA,"15053",NA,"15053",NA,"15053","40.3333333333333"
"131","Hlanjwana","2019-02-26","15021","15021",NA,"15021",NA,"15021",NA,"15021","492.333333333333"
"132","Hlanjwana","2019-03-06","14990","14990",NA,"14990",NA,"14990",NA,"14990","2377"
"133","Hlanjwana","2019-03-14","15072","15072",NA,"15072",NA,"15072",NA,"15072","440.333333333333"
"134","Hlanjwana","2019-03-22","15017","15017",NA,"15017",NA,"15017",NA,"14884","6272.33333333333"
"135","Hlanjwana","2019-03-30","15020","15020",NA,"15020",NA,"15020",NA,"15013","49"
"136","Hlanjwana","2019-04-07","14945","14945",NA,"14945",NA,"14945",NA,"14922","212.333333333333"
"137","Hlanjwana","2019-04-15","14887","14887",NA,"14887",NA,"14887",NA,"14912","356.333333333333"
"138","Hlanjwana","2019-04-23","14920","14920",NA,"14920",NA,"14920",NA,"14920","307"
"139","Hlanjwana","2019-05-01","14908","14908",NA,"14908",NA,"14908",NA,"14939","474.333333333333"
"140","Hlanjwana","2019-05-09","14861","14861",NA,"14861",NA,"14861",NA,"14865","12.3333333333333"
"141","Hlanjwana","2019-05-17","14898","14898",NA,"14898",NA,"14898",NA,"14898","41.3333333333333"
"142","Hlanjwana","2019-05-25","14835","14835",NA,"14835",NA,"14835",NA,"14835","25"
"143","Hlanjwana","2019-06-02","14769","14769",NA,"14769",NA,"14769",NA,"14774","36.3333333333333"
"144","Hlanjwana","2019-06-10","14749","14749",NA,"14749",NA,"14749",NA,"14749","58.3333333333333"
"145","Hlanjwana","2019-06-18","14813","14813",NA,"14813",NA,"14813",NA,"14813","37.3333333333333"
"146","Hlanjwana","2019-06-26","14803","14803",NA,"14803",NA,"14803",NA,"14803","160.333333333333"
"147","Hlanjwana","2019-07-04","14803","14803",NA,"14803",NA,"14803",NA,"14803","94.3333333333333"
"148","Hlanjwana","2019-07-12","14829","14829",NA,"14829",NA,"14829",NA,"14829","139"
"149","Hlanjwana","2019-07-20","14788","14788",NA,"14788",NA,"14788",NA,"14788","643"
"150","Hlanjwana","2019-07-28","14879","14879",NA,"14879",NA,"14879",NA,"14879","3"
"151","Hlanjwana","2019-08-05","14904","14904",NA,"14904",NA,"14904",NA,"14909","36.3333333333333"
"152","Hlanjwana","2019-08-13","14886","14886",NA,"14886",NA,"14886",NA,"14896","268"
"153","Hlanjwana","2019-08-21","15002","15002",NA,"15002",NA,"15002",NA,"15002","209.333333333333"
"154","Hlanjwana","2019-08-29","15069","15069",NA,"15069",NA,"15069",NA,"15069","672.333333333333"
"155","Hlanjwana","2019-09-06","15066","15066",NA,"15066",NA,"15066",NA,"15060","654.333333333333"
"156","Hlanjwana","2019-09-14","15264","15264",NA,"15264",NA,"15264",NA,"15264","2552.33333333333"
"157","Hlanjwana","2019-09-22","15116","15116",NA,"15116",NA,"15116",NA,"15266","13326.3333333333"
"158","Hlanjwana","2019-09-30","15159","15159",NA,"15159",NA,"15159",NA,"15159","137.333333333333"
"159","Hlanjwana","2019-10-08","15012","15012",NA,"15012",NA,"15012",NA,"15076","2264.33333333333"
"160","Hlanjwana","2019-10-16","15296","15296",NA,"15296",NA,"15296",NA,"15296","2206.33333333333"
"161","Hlanjwana","2019-10-24","15240","15240",NA,"15240",NA,"15240",NA,"15244","31"
"162","Hlanjwana","2019-11-01","15445","15445",NA,"15445",NA,"15445",NA,"15445","377.333333333333"
"163","Hlanjwana","2019-11-09","14938","14938",NA,"14938",NA,"14938",NA,"14938","8.33333333333333"
